city,county,place_fips,metro_status,population,property_tax,gen_sales_tax,total_taxes,tax_per_capita,lt_debt_os,st_debt_os,total_debt_os,debt_per_capita,sales_tax_rate,taxable_sales,taxable_sales_per_capita,business_outlets,sales_tax_alloc_2019,sales_tax_alloc_2023,salestax_growth_19_23_pct
PEARLAND,Brazoria,56348,Metro,123562,103617000.0,36970000.0,153048000.0,1238.6332367556367,757183000.0,0.0,757183000.0,6127.960052443308,1.5,4267409352.0,34536.58367459251,32018.0,33121657.51,45191602.48,36.44124683783072
RICHARDSON,Dallas,61796,Metro,121112,118829000.0,45810000.0,188079000.0,1552.9344738754212,444718000.0,0.0,444718000.0,3671.9565360988177,1.0,5031510114.0,41544.274010832945,38028.0,41357585.55,58645857.75,41.80193783096703
COLLEGE STATION,Brazos,15976,Metro,119260,52693000.0,34003000.0,96236000.0,806.9428140197887,406981000.0,0.0,406981000.0,3412.552406506792,1.5,3812392172.0,31967.065000838506,23316.0,28432570.97,38038094.85,33.78352203933672
SUGAR LAND,Fort Bend,70808,Metro,117875,50867000.0,58892000.0,123309000.0,1046.099681866384,119500000.0,0.0,119500000.0,1013.7857900318133,2.0,5123777008.0,43467.8855397667,40178.0,54731879.19,67135093.34,22.661772870875925
BEAUMONT,Jefferson,07000,Metro,115473,55587000.0,44580000.0,146504000.0,1268.7294865466386,328185000.0,0.0,328185000.0,2842.092956795095,1.5,5046627167.0,43703.95821534038,30760.0,44755538.79,50244485.39,12.26428448499972
LEWISVILLE,Denton,42508,Metro,112232,55537000.0,61219000.0,134307000.0,1196.6907833772898,223745000.0,0.0,223745000.0,1993.593627485922,1.25,6185196890.0,55110.81411718583,32056.0,40971845.75,52692142.87,28.60573378000672
ALLEN,Collin,01924,Metro,109379,76104000.0,46855000.0,140725000.0,1286.5815193044368,141459000.0,0.0,141459000.0,1293.2921310306365,2.0,3502657234.0,32023.12357948052,25886.0,42803017.51,58396243.94,36.43020360972677
LEAGUE CITY,Galveston,41980,Metro,108477,50377000.0,27992000.0,81534000.0,751.6247683840814,271540000.0,18745000.0,290285000.0,2676.005051762125,2.0,2871346988.0,26469.638614637202,22284.0,23048765.14,35751325.75,55.11167532335747
TYLER,Smith,74144,Metro,108222,22394000.0,50545000.0,93720000.0,865.9976714531241,106140000.0,0.0,106140000.0,980.7617674779619,1.5,6101524582.0,56379.706362846744,36998.0,45841556.15,61117730.98,33.32385746246094
WICHITA FALLS,Wichita,79000,Metro,105405,44175000.0,37818000.0,91432000.0,867.4351311607609,116265000.0,0.0,116265000.0,1103.0311655044827,2.0,3118406680.0,29584.997675632087,23648.0,33091606.87,40808451.91,23.31964437482753
EDINBURG,Hidalgo,22660,Metro,102374,31335000.0,23495000.0,60389000.0,589.8861038935668,87857000.0,0.0,87857000.0,858.1964170590189,2.0,2343558629.0,22892.127190497587,18024.0,25574572.73,36794352.0,43.870837602845846
SAN ANGELO,Tom Green,64472,Metro,101612,43279000.0,32291000.0,78265000.0,770.2338306499232,246200000.0,0.0,246200000.0,2422.942172184388,1.5,3673061053.0,36147.90628075424,27216.0,29940417.26,36928315.0,23.339346540556523
CONROE,Montgomery,16432,Metro,96214,41901000.0,57585000.0,115869000.0,1204.2841998046022,613095000.0,0.0,613095000.0,6372.201550709876,2.0,5176558861.0,53802.55327706986,33418.0,48553663.01,70325702.33,44.84118801812313
